latent_dim,lstm_hidden,learning_rate,batch_size,epochs,opt_precision,opt_recall,max_precision,max_recall,f1_precision,f1_recall,auc,avg_precision
12,24,0.0005,6,15,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8170651817884048,0.7842136806411206
12,24,0.0005,6,20,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8124249372202206,0.7807503532701238
12,24,0.0005,6,25,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8195217818539142,0.7845131993307037
12,24,0.0005,6,30,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8176656840266403,0.7837511622717405
12,24,0.0005,8,15,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8061469592750301,0.7784632567884977
12,24,0.0005,8,20,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8197401463041817,0.7858489948074746
12,24,0.0005,8,25,0.9,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.814444808385195,0.7823077356884791
12,24,0.0005,8,30,0.9019607843137255,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8206681952178185,0.7845913049102313
12,24,0.0005,10,15,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8181570040397425,0.782946247567946
12,24,0.0005,10,20,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8123157549950868,0.7827399514483685
12,24,0.0005,10,25,0.92,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8024347636204826,0.7770003056973332
12,24,0.0005,10,30,0.9019607843137255,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8172289551261054,0.7828784970099857
12,24,0.0005,12,15,0.9,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8188666885031116,0.7831413898147306
12,24,0.0005,12,20,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8130800305710231,0.7826676401708177
12,24,0.0005,12,25,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8172289551261055,0.7842256361909299
12,24,0.0005,12,30,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8219237908068566,0.7859280367897856
12,24,0.001,6,15,0.9245283018867925,0.6901408450704225,1.0,0.014084507042253521,0.9245283018867925,0.6901408450704225,0.823506933071296,0.7868218116270417
12,24,0.001,6,20,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8182115951523092,0.7840108530104951
12,24,0.001,6,25,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8166830440004368,0.7864106676715839
12,24,0.001,6,30,0.92,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8130254394584562,0.7815613527312308
12,24,0.001,8,15,0.9090909090909091,0.704225352112676,1.0,0.014084507042253521,0.9259259259259259,0.704225352112676,0.8229064308330604,0.7891014396687108
12,24,0.001,8,20,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8194125996287804,0.7837749447307718
12,24,0.001,8,25,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8191396440659462,0.7889098507823886
12,24,0.001,8,30,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8161917239873349,0.7829110280910279
12,24,0.001,10,15,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8197947374167486,0.7833835983593411
12,24,0.001,10,20,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8173381373512392,0.7851568919581621
12,24,0.001,10,25,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8142810350474943,0.7833518755055037
